Cars,Kilometers,Year,Fuel Type,Transmission,Price(Lakh)
MG HECTOR SHARP 2.0 DIESEL,29274,2022,Diesel,Manual,18.08
MG HECTOR SHARP 1.5 DCT PETROL,20465,2021,Petrol,Automatic,14.73
MG HECTOR SHARP 1.5 DCT PETROL,18601,2019,Petrol,Automatic,14.37
 MG HECTOR SHARP 1.5 DCT PETROL,55601,2019,Petrol,Automatic,14.87
 MG HECTOR SMART 1.5 DCT PETROL,8629,2020,Petrol,Automatic,15
 MG HECTOR SHARP 1.5 PETROL CVT,32496,2021,Petrol,Automatic,15.62
 MG HECTOR SHARP 1.5 DCT PETROL,36110,2020,Petrol,Automatic,15.09
 MG HECTOR SMART 2.0 DIESEL,51824,2020,Diesel,Manual,13.87
 MG HECTOR SHARP 1.5 DCT PETROL,65163,2020,Petrol,Automatic,13.66
 MG HECTOR SHARP 2.0 DIESEL,33306,2021,Diesel,Manual,13.86
MG HECTOR SMART 1.5 DCT PETROL,14172,2019,Petrol,Automatic,13.89
MG HECTOR SHARP 1.5 DCT PETROL,50365,2020,Petrol,Automatic,13.57
MG HECTOR SHARP 2.0 DIESEL,49559,2020,Diesel,Manual,14.47
MG HECTOR SMART HYBRID 1.5 PETROL,13989,2021,Petrol,Manual,16.59
MG HECTOR SHARP 2.0 DIESEL DUAL TONE,127904,2021,Diesel,Manual,15.38
MG ASTOR SHARP 1.3 TURBO AT,7459,2022,Petrol,Automatic,16.64
 MG HECTOR SHARP 1.5 DCT PETROL,65163,2021,Petrol,Automatic,13.66
 MG HECTOR SHARP 2.0 DIESEL,3306,2020,Diesel,Manual,12.86
MG HECTOR SMART 1.5 DCT PETROL,14172,2019,Petrol,Automatic,13.89
MG HECTOR SHARP 1.5 DCT PETROL,50365,2020,Petrol,Automatic,13.57
MG HECTOR SHARP 2.0 DIESEL,29274,2022,Diesel,Manual,18.08
MG HECTOR SHARP 1.5 DCT PETROL,20465,2021,Petrol,Automatic,14.73
MG HECTOR SHARP 1.5 DCT PETROL,18601,2019,Petrol,Automatic,14.37
 MG HECTOR SHARP 2.0 DIESEL,33306,2019,Diesel,Manual,12.86
 MG HECTOR SMART 1.5 DCT PETROL,8487,2019,Petrol,Automatic,14.33
 MG HECTOR SHARP 1.5 DCT PETROL,65163,2020,Petrol,Automatic,13.66
 MG HECTOR SMART 1.5 DCT PETROL,14172,2019,Petrol,Automatic,13.89
MG HECTOR SHARP 1.5 DCT PETROL,42379,2019,Petrol,Automatic,14.7
MG HECTOR SHARP 1.5 DCT PETROL,26226,2019,Petrol,Automatic,15.6
MG HECTOR SHARP 1.5 DCT PETROL,53210,2020,Petrol,Automatic,13.65
MG HECTOR SHARP 1.5 DCT PETROL,42379,2019,Petrol,Automatic,14.7
